Axis: (0, -0.9525131992553484)
Axis: (1, -0.22446363719595935)
Axis: (1, -0.1650746177556688)
Axis: (1, -0.04297006134220405)
Axis: (1, 0.03295999023407697)
Axis: (1, 0.0956450086977752)
Axis: (1, 0.11874752037110507)
Axis: (0, -0.9493392742698447)
Axis: (1, 0.12866603595080417)
Axis: (0, -0.9461653492843409)
Axis: (1, 0.1781670583208716)
Axis: (0, -0.9176915799432356)
Axis: (1, 0.21445356608783228)
Axis: (0, -0.8734092226935637)
Axis: (1, 0.2507705923642689)
Axis: (0, -0.8196050904873806)
Axis: (1, 0.2639851069673757)
Axis: (0, -0.7436445204016235)
Axis: (1, 0.2804651020844142)
Axis: (0, -0.6993316446424757)
Axis: (1, 0.2837611011078219)
Axis: (0, -0.5790887173070467)
Axis: (0, -0.47465437788018433)
Axis: (0, -0.3892330698568682)
Axis: (1, 0.2804651020844142)
Axis: (0, -0.2974639118625446)
Axis: (1, 0.22437208166753136)
